District,Rythu Bazar,Vegetable,Arrivals,LocalMarket Rate,RythuBazar Rate
Hyderabad,Mehdipatnam,Tomato,92,24,19
Hyderabad,Mehdipatnam,Brinjal,35,20,13
Hyderabad,Mehdipatnam,Bhendi,66,35,28
Hyderabad,Mehdipatnam,Green Chillies,45,40,35
Hyderabad,Mehdipatnam,Bitter  Gourd,26,24,20
Hyderabad,Mehdipatnam,Ribbed Gourd,51,30,23
Hyderabad,Mehdipatnam,Cauliflower,40,24,18
Hyderabad,Mehdipatnam,Cabbage,37,16,11
Hyderabad,Mehdipatnam,Carrot,30,30,27
Hyderabad,Mehdipatnam,Donda,31,20,13
Hyderabad,Mehdipatnam,Potato,91,24,21
Hyderabad,Mehdipatnam,Onions-I,52,45,35
Hyderabad,Mehdipatnam,Cluster Beans,28,30,23
Hyderabad,Mehdipatnam,Cucumber,27,20,13
Hyderabad,Mehdipatnam,Bottle Gourd,31,12,7
Hyderabad,Mehdipatnam,Snake Gourd,7,16,11
Hyderabad,Mehdipatnam,Aratikaya,15,12,9
Hyderabad,Mehdipatnam,Field Beans,23,60,55
Hyderabad,Mehdipatnam,Colocasia(Chama),15,46,37
Hyderabad,Mehdipatnam,Mulagakada,21,12,10
Hyderabad,Mehdipatnam,Leafy Vegetables,108,22,20
Hyderabad,Mehdipatnam,Kanda,1,60,50
Hyderabad,Mehdipatnam,Beet Root,14,30,25
Hyderabad,Mehdipatnam,Keera,34,30,23
Hyderabad,Mehdipatnam,French Beans,21,60,55
Hyderabad,Mehdipatnam,Others,111,22,20
Hyderabad,Mehdipatnam,Rice,0,55,50
Hyderabad,Mehdipatnam,Tomato-618,0,0,0
Hyderabad,Mehdipatnam,Onions-II,0,0,0
Medchal (Malkajgiri),Kukatpally,Tomato,123,25,19
Medchal (Malkajgiri),Kukatpally,Brinjal,55,20,13
Medchal (Malkajgiri),Kukatpally,Bhendi,49,35,28
Medchal (Malkajgiri),Kukatpally,Green Chillies,62,40,35
Medchal (Malkajgiri),Kukatpally,Bitter  Gourd,55,25,20
Medchal (Malkajgiri),Kukatpally,Ribbed Gourd,61,30,23
Medchal (Malkajgiri),Kukatpally,Cauliflower,68,22,18
Medchal (Malkajgiri),Kukatpally,Cabbage,62,15,11
Medchal (Malkajgiri),Kukatpally,Carrot,49,35,27
Medchal (Malkajgiri),Kukatpally,Donda,68,20,13
Medchal (Malkajgiri),Kukatpally,Potato,126,25,21
Medchal (Malkajgiri),Kukatpally,Onions-I,32,45,35
Medchal (Malkajgiri),Kukatpally,Cluster Beans,45,30,23
Medchal (Malkajgiri),Kukatpally,Cucumber,52,20,13
Medchal (Malkajgiri),Kukatpally,Bottle Gourd,79,10,7
Medchal (Malkajgiri),Kukatpally,Snake Gourd,24,15,11
Medchal (Malkajgiri),Kukatpally,Aratikaya,22,12,9
Medchal (Malkajgiri),Kukatpally,Field Beans,23,65,55
Medchal (Malkajgiri),Kukatpally,Colocasia(Chama),22,42,37
Medchal (Malkajgiri),Kukatpally,Mulagakada,20,65,55
Medchal (Malkajgiri),Kukatpally,Leafy Vegetables,133,25,20
Medchal (Malkajgiri),Kukatpally,Kanda,18,40,50
Medchal (Malkajgiri),Kukatpally,Beet Root,46,30,25
Medchal (Malkajgiri),Kukatpally,Keera,48,30,23
Medchal (Malkajgiri),Kukatpally,French Beans,20,65,55
Medchal (Malkajgiri),Kukatpally,Others,213,25,20
Medchal (Malkajgiri),Kukatpally,Rice,0,0,0
Medchal (Malkajgiri),Kukatpally,Tomato-618,0,0,0
Medchal (Malkajgiri),Kukatpally,Onions-II,0,0,0
Rangareddy,Saroornagar,Tomato,24,22,19
Rangareddy,Saroornagar,Brinjal,16,16,13
Rangareddy,Saroornagar,Bhendi,22,33,28
Rangareddy,Saroornagar,Green Chillies,21,40,35
Rangareddy,Saroornagar,Bitter  Gourd,21,23,20
Rangareddy,Saroornagar,Ribbed Gourd,15,26,23
Rangareddy,Saroornagar,Cauliflower,16,21,18
Rangareddy,Saroornagar,Cabbage,17,14,11
Rangareddy,Saroornagar,Carrot,14,32,27
Rangareddy,Saroornagar,Donda,18,16,13
Rangareddy,Saroornagar,Potato,20,24,21
Rangareddy,Saroornagar,Onions-I,10,60,35
Rangareddy,Saroornagar,Cluster Beans,13,26,23
Rangareddy,Saroornagar,Cucumber,22,16,13
Rangareddy,Saroornagar,Bottle Gourd,15,10,7
Rangareddy,Saroornagar,Snake Gourd,4,14,11
Rangareddy,Saroornagar,Aratikaya,12,12,9
Rangareddy,Saroornagar,Field Beans,14,60,55
Rangareddy,Saroornagar,Colocasia(Chama),17,42,37
Rangareddy,Saroornagar,Mulagakada,4,70,65
Rangareddy,Saroornagar,Leafy Vegetables,55,23,20
Rangareddy,Saroornagar,Kanda,7,55,50
Rangareddy,Saroornagar,Beet Root,16,30,25
Rangareddy,Saroornagar,Keera,22,26,23
Rangareddy,Saroornagar,French Beans,17,60,55
Rangareddy,Saroornagar,Others,54,20,17
Rangareddy,Saroornagar,Rice,0,0,0
Rangareddy,Saroornagar,Tomato-618,12,22,19
Rangareddy,Saroornagar,Onions-II,0,0,0
Rangareddy,Vanasthalipuram,Tomato,85,24,19
Rangareddy,Vanasthalipuram,Brinjal,16,18,13
Rangareddy,Vanasthalipuram,Bhendi,23,32,28
Rangareddy,Vanasthalipuram,Green Chillies,24,40,35
Rangareddy,Vanasthalipuram,Bitter  Gourd,10,25,20
Rangareddy,Vanasthalipuram,Ribbed Gourd,14,28,23
Rangareddy,Vanasthalipuram,Cauliflower,16,22,18
Rangareddy,Vanasthalipuram,Cabbage,26,16,11
Rangareddy,Vanasthalipuram,Carrot,12,32,27
Rangareddy,Vanasthalipuram,Donda,18,18,13
Rangareddy,Vanasthalipuram,Potato,37,26,21
Rangareddy,Vanasthalipuram,Onions-I,18,60,35
Rangareddy,Vanasthalipuram,Cluster Beans,7,28,23
Rangareddy,Vanasthalipuram,Cucumber,15,18,13
Rangareddy,Vanasthalipuram,Bottle Gourd,15,10,7
Rangareddy,Vanasthalipuram,Snake Gourd,2,16,11
Rangareddy,Vanasthalipuram,Aratikaya,9,12,9
Rangareddy,Vanasthalipuram,Field Beans,6,60,55
Rangareddy,Vanasthalipuram,Colocasia(Chama),3,42,37
Rangareddy,Vanasthalipuram,Mulagakada,4,60,55
Rangareddy,Vanasthalipuram,Leafy Vegetables,36,20,15
Rangareddy,Vanasthalipuram,Kanda,1,55,50
Rangareddy,Vanasthalipuram,Beet Root,7,30,25
